Unnamed: 0,Best,Brussel,Luxumburg,Month
Part 596,4,2,5,1
Part 597,8,5,4,1
Part 598,10,10,6,1
Part 599,5,4,2,1
Part 600,3,8,10,1
Part 601,8,6,7,1
Part 602,7,5,10,1
Part 603,3,6,6,1
Part 604,4,7,6,1
Part 605,7,1,4,1
Part 606,7,3,5,1
Part 607,10,6,10,1
Part 608,5,7,8,1
Part 609,7,1,2,1
Part 610,1,8,8,1
Part 611,5,9,5,1
Part 612,6,6,4,1
Part 613,10,6,1,1
Part 614,4,4,9,1
Part 615,2,2,9,1
Part 616,4,6,9,1
Part 617,6,10,3,1
Part 618,5,1,2,1
Part 619,5,10,1,1
Part 620,9,6,10,1
Part 621,9,4,10,1
Part 622,8,2,8,1
Part 623,6,1,9,1
Part 624,3,5,2,1
Part 625,3,2,3,1
Part 626,6,3,6,1
Part 627,1,2,8,1
Part 628,3,9,7,1
Part 629,3,7,9,1
Part 630,2,9,9,1
Part 631,7,5,6,1
Part 632,5,4,8,1
Part 633,9,4,2,1
Part 634,7,1,10,1
Part 635,2,4,3,1
Part 636,7,4,4,1
Part 637,1,8,1,1
Part 638,3,4,9,1
Part 639,2,5,2,1
Part 640,4,4,6,1
Part 641,6,9,4,1
Part 642,9,4,4,1
Part 643,2,4,7,1
Part 644,2,1,4,1
Part 645,3,1,4,1
Part 646,2,6,8,1
Part 647,2,6,1,1
Part 648,3,3,2,1
Part 649,2,6,4,1
Part 650,4,2,8,1
Part 651,6,6,6,1
Part 652,6,6,7,1
Part 653,1,3,2,1
Part 654,1,10,2,1
Part 655,7,5,8,1
Part 656,10,6,3,1
Part 657,4,4,7,1
Part 658,1,1,10,1
Part 659,6,3,1,1
Part 660,9,3,2,1
Part 661,7,5,5,1
Part 662,2,2,7,1
Part 663,2,2,1,1
Part 664,2,2,1,1
Part 665,3,10,4,1
Part 666,4,9,6,1
Part 667,2,2,7,1
Part 668,5,5,7,1
Part 669,3,4,10,1
Part 670,9,5,1,1
Part 671,4,5,7,1
Part 672,10,10,1,1
Part 673,1,4,9,1
Part 674,9,2,7,1
Part 675,10,6,1,1
Part 676,3,10,3,1
Part 677,6,6,7,1
Part 678,10,7,9,1
Part 679,4,4,7,1
Part 680,8,8,4,1
Part 681,9,8,6,1
Part 682,1,7,3,1
Part 683,6,4,4,1
Part 684,3,3,6,1
Part 685,5,1,9,1
Part 686,2,4,3,1
Part 687,10,3,2,1
Part 688,5,5,8,1
Part 689,1,8,5,1
Part 690,1,4,3,1
Part 691,10,3,10,1
Part 692,2,4,5,1
Part 693,6,10,2,1
Part 694,6,6,7,1
Part 695,7,5,2,1
Part 696,2,5,5,1
Part 697,9,9,5,1
Part 698,8,9,9,1
Part 699,6,8,1,1
Part 700,8,6,9,1
Part 701,3,5,4,1
Part 702,6,10,4,1
Part 703,7,3,7,1
Part 704,6,6,10,1
Part 705,4,1,4,1
Part 706,10,1,10,1
Part 707,8,5,6,1
Part 708,10,4,4,1
Part 709,3,8,5,1
Part 710,7,9,5,1
Part 711,9,4,9,1
Part 712,6,9,10,1
Part 713,3,4,10,1
Part 714,5,5,9,1
Part 715,9,4,3,1
Part 716,7,9,1,1
Part 717,5,8,7,1
Part 718,5,2,4,1
Part 719,10,6,9,1
Part 720,4,5,5,1
Part 721,4,9,1,1
Part 722,10,7,3,1
Part 723,6,4,9,1
Part 724,9,8,5,1
Part 725,6,2,6,1
Part 726,10,7,10,1
Part 727,9,1,1,1
Part 728,6,2,4,1
Part 729,2,5,2,1
Part 730,4,8,7,1
Part 731,3,2,2,1
Part 732,3,3,9,1
Part 733,4,4,6,1
Part 734,5,4,2,1
Part 735,4,1,9,1
Part 736,10,8,1,1
Part 737,5,6,4,1
Part 738,5,5,9,1
Part 739,4,10,7,1
Part 740,6,5,4,1
Part 741,6,7,8,1
Part 742,10,6,1,1
Part 743,6,9,10,1
Part 744,2,1,5,1
Part 745,4,1,7,1
Part 746,8,5,7,1
Part 747,7,8,7,1
Part 748,2,6,6,1
Part 749,4,6,2,1
Part 750,8,2,5,1
Part 751,5,6,7,1
Part 752,2,2,6,1
Part 753,10,1,5,1
Part 754,2,5,9,1
Part 755,4,6,5,1
Part 756,10,7,8,1
Part 757,7,9,7,1
Part 758,7,1,9,1
Part 759,6,2,1,1
Part 760,4,2,5,1
Part 761,5,10,1,1
Part 762,9,3,5,1
Part 763,2,1,10,1
Part 764,5,3,7,1
Part 765,6,8,3,1
Part 766,5,2,2,1
Part 767,9,9,2,1
Part 768,9,6,9,1
Part 769,3,3,5,1
Part 770,9,5,10,1
Part 771,2,4,8,1
Part 772,6,2,4,1
Part 773,10,3,1,1
Part 774,10,7,9,1
Part 775,3,6,2,1
Part 776,4,9,5,1
Part 777,10,9,2,1
Part 778,10,9,4,1
Part 779,3,10,5,1
Part 780,3,10,6,1
Part 781,4,8,6,1
Part 782,1,3,1,1
Part 783,9,8,7,1
Part 784,3,9,10,1
Part 785,9,3,10,1
Part 786,8,2,5,1
Part 787,4,9,6,1
Part 788,10,7,7,1
Part 789,10,6,5,1
Part 790,8,3,2,1
Part 791,6,6,6,1
Part 792,4,8,1,1
Part 793,3,4,7,1
Part 794,1,7,7,1
Part 795,9,7,8,1
Part 796,2,8,4,1
Part 797,1,7,3,1
Part 798,8,4,7,1
Part 799,5,7,6,1
Part 800,9,5,10,1
Part 801,6,7,9,1
Part 802,10,5,7,1
Part 803,6,8,7,1
Part 804,7,1,9,1
Part 805,6,7,4,1
Part 806,9,8,6,1
Part 807,5,5,2,1
Part 808,7,9,6,1
Part 809,3,6,1,1
Part 810,4,6,1,1
Part 811,4,6,9,1
Part 812,3,10,5,1
Part 813,10,2,9,1
Part 814,6,1,6,1
Part 815,3,10,4,1
Part 816,5,8,8,1
Part 817,6,2,4,1
Part 818,5,4,9,1
Part 819,5,9,4,1
Part 820,4,7,2,1
Part 821,9,4,5,1
Part 822,3,6,4,1
Part 823,7,1,10,1
Part 824,9,7,6,1
Part 825,1,9,6,1
Part 826,6,7,8,1
Part 827,8,10,3,1
Part 828,7,7,5,1
Part 829,2,2,2,1
Part 830,8,9,4,1
Part 831,4,4,4,1
Part 832,6,6,7,1
Part 833,2,4,4,1
Part 834,6,2,3,1
Part 835,10,4,5,1
Part 836,4,8,4,1
Part 837,5,10,3,1
Part 838,4,4,1,1
Part 839,10,8,6,1
Part 840,1,6,10,1
Part 841,1,5,4,1
Part 842,5,6,8,1
Part 843,3,6,4,1
Part 844,2,6,4,1
Part 845,3,1,5,1
Part 846,5,10,3,1
Part 847,7,1,4,1
Part 848,4,7,5,1
Part 849,2,4,7,1
Part 850,4,8,3,1
Part 851,3,1,2,1
Part 852,2,2,8,1
Part 853,6,7,10,1
Part 854,2,7,8,1
Part 855,7,3,4,1
Part 856,2,6,7,1
Part 857,10,9,5,1
Part 858,4,7,8,1
Part 859,6,3,3,1
Part 860,3,7,8,1
Part 861,6,1,6,1
Part 862,10,3,1,1
Part 863,9,7,5,1
Part 864,1,2,7,1
Part 865,1,3,3,1
Part 866,8,5,3,1
Part 867,1,5,5,1
Part 868,6,5,5,1
Part 869,6,2,8,1
Part 870,7,10,7,1
Part 871,10,4,4,1
Part 872,10,5,8,1
Part 873,6,6,3,1
Part 874,6,2,4,1
Part 875,7,2,3,1
Part 876,8,10,4,1
Part 877,9,1,2,1
Part 878,8,6,5,1
Part 879,8,1,8,1
Part 880,10,2,2,1
Part 881,6,2,1,1
Part 882,3,5,8,1
Part 883,10,1,3,1
Part 884,9,10,3,1
Part 885,1,5,2,1
Part 886,1,6,8,1
Part 887,8,8,10,1
Part 888,8,4,8,1
Part 889,6,6,2,1
Part 890,8,2,4,1
Part 891,10,8,5,1
Part 892,2,2,3,1
Part 893,5,6,7,1
Part 894,5,1,10,1
Part 895,1,6,7,1
Part 896,1,6,7,1
Part 897,10,2,5,1
Part 898,10,2,1,1
Part 899,1,7,3,1
Part 900,4,6,2,1
Part 901,3,1,6,1
Part 902,10,7,1,1
Part 903,5,5,4,1
Part 904,1,4,9,1
Part 905,2,7,1,1
Part 906,5,4,9,1
Part 907,7,3,5,1
Part 908,9,9,10,1
Part 909,9,6,10,1
Part 910,10,10,7,1
Part 911,8,6,8,1
Part 912,9,9,1,1
Part 913,1,7,6,1
Part 914,10,4,3,1
Part 915,2,1,4,1
Part 916,7,3,2,1
Part 917,10,9,2,1
Part 918,3,3,3,1
Part 919,2,9,8,1
Part 920,3,1,6,1
Part 921,8,4,7,1
Part 922,7,8,3,1
Part 923,5,7,7,1
Part 924,7,5,6,1
Part 925,2,3,7,1
Part 926,4,2,4,1
Part 927,8,5,5,1
Part 928,1,10,6,1
Part 929,2,5,6,1
Part 930,8,10,4,1
Part 931,1,7,3,1
Part 932,9,3,5,1
Part 933,3,6,8,1
Part 934,1,1,9,1
Part 935,9,8,5,1
Part 936,4,8,7,1
Part 937,5,7,4,1
Part 938,5,4,6,1
Part 939,10,1,6,1
Part 940,9,1,9,1
Part 941,3,5,9,1
Part 942,3,5,7,1
Part 943,3,8,6,1
Part 944,5,6,7,1
Part 945,1,10,4,1
Part 946,3,7,5,1
Part 947,3,9,9,1
Part 948,7,5,4,1
Part 949,10,4,4,1
Part 950,9,7,6,1
Part 951,2,6,2,1
Part 952,6,6,5,1
Part 953,1,3,8,1
Part 954,4,3,6,1
Part 955,7,9,1,1
Part 956,2,8,8,1
Part 957,9,5,9,1
Part 958,5,10,3,1
Part 959,8,1,1,1
Part 960,7,1,7,1
Part 961,7,1,1,1
Part 962,7,4,6,1
Part 963,7,2,6,1
Part 964,9,4,7,1
Part 965,8,9,8,1
Part 966,2,10,7,1
Part 967,6,4,8,1
Part 968,10,7,6,1
Part 969,10,3,10,1
Part 970,10,9,1,1
Part 971,6,10,2,1
Part 972,8,3,4,1
Part 973,1,9,10,1
Part 974,1,9,4,1
Part 975,10,7,5,1
Part 976,10,2,9,1
Part 977,4,5,6,1
Part 978,10,5,2,1
Part 979,3,2,10,1
Part 980,7,10,3,1
Part 981,6,5,7,1
Part 982,9,3,8,1
Part 983,3,4,8,1
Part 984,8,7,5,1
Part 985,9,5,7,1
Part 986,2,10,7,1
Part 987,8,2,5,1
Part 988,3,8,5,1
Part 989,6,1,10,1
Part 990,9,2,6,1
Part 991,3,8,4,1
Part 992,7,3,9,1
Part 993,5,6,5,1
Part 994,3,5,7,1
Part 995,2,9,1,1
Part 996,5,8,7,1
Part 997,7,2,8,1
Part 998,9,2,1,1
Part 999,5,7,2,1
Part 1000,4,7,9,1
Part 1,3,4,6,2
Part 2,8,3,3,2
Part 3,6,4,9,2
Part 4,4,1,3,2
Part 5,2,1,2,2
Part 6,4,7,1,2
Part 7,4,10,7,2
Part 8,6,4,2,2
Part 9,1,8,2,2
Part 10,7,6,3,2
Part 11,10,4,5,2
Part 12,10,8,8,2
Part 13,8,3,8,2
Part 14,4,1,2,2
Part 15,1,8,2,2
Part 16,8,7,10,2
Part 17,10,2,10,2
Part 18,1,6,9,2
Part 19,9,3,9,2
Part 20,3,7,10,2
Part 21,5,6,8,2
Part 22,10,3,6,2
Part 23,3,2,2,2
Part 24,9,5,4,2
Part 25,1,6,5,2
Part 26,10,2,8,2
Part 27,6,5,5,2
Part 28,8,1,1,2
Part 29,2,4,3,2
Part 30,8,7,1,2
Part 31,9,8,4,2
Part 32,6,3,4,2
Part 33,10,7,8,2
Part 34,5,8,7,2
Part 35,4,7,5,2
Part 36,9,5,4,2
Part 37,1,1,1,2
Part 38,10,3,1,2
Part 39,7,6,2,2
Part 40,7,6,9,2
Part 41,6,6,10,2
Part 42,4,2,5,2
Part 43,3,8,9,2
Part 44,3,3,6,2
Part 45,1,3,1,2
Part 46,7,10,10,2
Part 47,9,7,2,2
Part 48,7,5,2,2
Part 49,3,9,8,2
Part 50,8,4,8,2
Part 51,9,5,8,2
Part 52,9,4,10,2
Part 53,3,4,1,2
Part 54,7,5,9,2
Part 55,9,2,8,2
Part 56,5,2,7,2
Part 57,9,1,8,2
Part 58,3,3,6,2
Part 59,2,4,10,2
Part 60,9,7,5,2
Part 61,1,4,8,2
Part 62,2,9,7,2
Part 63,6,4,1,2
Part 64,7,3,8,2
Part 65,5,9,3,2
Part 66,2,9,4,2
Part 67,7,3,3,2
Part 68,5,2,4,2
Part 69,3,10,6,2
Part 70,3,8,2,2
Part 71,9,4,7,2
Part 72,9,5,2,2
